,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
2322,530.369957192214,1232.76257324219,530.3686482536821,530.441056505676,1228.43920898438,1234.65576171875,104,545755.3243541288,nan,nan,2322,0.00847457627118644,knn
2327,531.3722317259591,1233.07495117188,531.274212143043,531.373980197072,1230.16979980469,1235.83642578125,115,178208.43553445002,nan,nan,2327,0.0,no
2328,531.353559912827,1098.36376953125,531.352370755105,531.3550512422071,1097.30480957031,1099.43212890625,104,433346.6718422592,nan,nan,2328,0.0,no
2359,535.3263611574299,1233.11645507812,535.191994570342,535.397850968278,1227.39599609375,1248.708984375,174,509000.676706422,nan,nan,2359,0.0,no
2373,536.407864824785,1178.30529785156,536.39411189203,536.409122021213,1168.87561035156,1182.54846191406,119,675338.1813110413,nan,nan,2373,0.0,no
2380,537.194547769392,59.153205871582,537.189245914412,537.19611222306,55.5441970825195,65.5955657958984,83,511892.1349527183,nan,nan,2380,0.0,no
2405,539.270060787539,658.5128173828119,539.025566715252,539.270953330972,653.204895019531,693.498168945312,45,102576.93506285654,nan,nan,2405,0.00847457627118644,knn
2432,542.325119450499,1036.64514160156,542.322564963579,542.374657012386,1032.93994140625,1050.18237304688,104,888035.04755131,nan,nan,2432,0.03389830508474576,knn
2448,544.34169056265,1069.30456542969,544.340557814068,544.372786576763,1056.32385253906,1079.34008789062,121,6196710.840673041,nan,nan,2448,0.0,no
2457,545.3448423573079,1069.30218505859,545.343650271245,545.357041853776,1061.94274902344,1070.2197265625,118,1966348.0427267754,nan,nan,2457,0.0,no
2458,545.369123345774,1176.65472412109,545.367719293501,545.370659115943,1173.16076660156,1181.07055664062,106,419891.6069900816,nan,nan,2458,0.0,no
2470,546.357067770977,1091.08288574219,546.35065062933,546.358173154702,1090.48376464844,1108.21533203125,119,3867595.421760257,nan,nan,2470,0.0,no
2472,546.347292041787,1068.55322265625,546.346429441356,546.348993993034,1058.00830078125,1069.25708007812,89,735282.2982306795,nan,nan,2472,0.00847457627118644,knn
2482,547.360183244861,1091.08404541016,547.359063232109,547.3663577932409,1090.48376464844,1094.73217773438,118,1203851.0496996758,nan,nan,2482,0.0,no
2630,562.396320055093,1176.67724609375,562.39537194539,562.400485724995,1173.16076660156,1181.07055664062,115,796079.500651578,nan,nan,2630,0.0,no
2640,563.399219117991,1176.67034912109,563.398072419116,563.40025183152,1173.16076660156,1177.65930175781,100,256254.28856483966,nan,nan,2640,0.0,no
2679,567.35149858758,1176.68505859375,567.350338188312,567.354034223965,1173.16076660156,1181.07055664062,109,769517.3255183102,nan,nan,2679,0.0423728813559322,knn
2690,568.341123851451,1067.77490234375,568.3395820187741,568.363510424793,1066.74389648438,1078.61584472656,117,1219162.2879929435,nan,nan,2690,0.01694915254237288,knn
