,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
641,275.185407326152,875.5750122070309,275.037966722767,275.18613304557897,874.0762329101559,882.1306762695309,119,3302480.550437232,nan,nan,641,0.0,no
645,275.53747526075597,875.623901367188,275.53601375574,275.694875005028,874.604858398438,876.300537109375,43,10358.335500503594,nan,nan,645,0.15254237288135594,knn
647,276.188388924945,875.5741577148441,276.039853297957,276.189224184977,874.5283203125,877.4774780273441,116,518158.5596758726,nan,nan,647,0.0,no
649,276.337578137234,875.627960205078,276.334004814781,276.392599138601,874.604858398438,876.300537109375,44,12233.385948327517,nan,nan,649,0.07627118644067797,knn
654,277.163626190929,705.8876953125,277.128097861553,277.16728497383303,704.3563842773441,721.6676635742191,25,7987.117757997893,nan,nan,654,0.0847457627118644,knn
656,277.190867212383,875.577758789062,277.190031698956,277.214948759523,874.604858398438,883.041015625,101,73852.29471092347,nan,nan,656,0.025423728813559324,knn
657,278.19343488532,876.0490112304691,278.192562423572,278.194174495211,874.604858398438,876.300537109375,18,6222.442929971974,nan,nan,657,0.1016949152542373,knn
662,279.159318563821,1068.83825683594,279.126893431364,279.23156505026003,1050.85791015625,1071.83337402344,37,15010.988746031257,nan,nan,662,0.0,no
675,281.13290679078096,81.273681640625,281.065783490304,281.140011244151,72.52000427246091,82.9066619873047,88,100987.92592161449,nan,nan,675,0.2033898305084746,knn
677,281.111112530964,201.878326416016,281.106422177458,281.112339023314,196.306076049805,209.592224121094,23,51870.805868088755,nan,nan,677,0.0,no
694,283.263125947692,1180.54667431642,283.26272968241,283.263504893612,1176.53662109375,1181.24938964844,30,62271.95888347148,nan,nan,694,0.0,no
695,283.151629320491,893.084259033203,283.15060820233504,283.152743256866,888.0822143554691,894.3157348632809,18,31352.17499799269,nan,nan,695,0.1016949152542373,knn
701,284.330941871134,1085.18688964844,284.32919852678504,284.331882333451,1082.40734863281,1097.87060546875,54,24491.468521965642,nan,nan,701,0.00847457627118644,knn
706,285.109306031376,787.6322631835941,285.107026910913,285.217580975505,769.7686157226559,789.136474609375,43,27234.71374810834,nan,nan,706,0.059322033898305086,knn
708,285.130103877742,641.891357421875,285.12825349171004,285.170161317311,631.499328613281,647.582763671875,23,45988.90478870999,nan,nan,708,0.01694915254237288,knn
717,287.184845259921,838.317016601562,287.184052897656,287.185399696631,836.2144165039059,841.524047851562,15,19231.833513170237,nan,nan,717,0.0,no
727,289.200947634916,917.283233642578,289.15428118642797,289.252812990008,901.404052734375,939.6148071289059,102,133634.99858702926,nan,nan,727,0.0,no
728,289.148575582592,89.22824096679692,289.146388702641,289.20036180656103,81.2364044189453,90.70086669921879,21,10006.666281021773,nan,nan,728,0.09322033898305085,knn
733,290.203818720089,917.339324951172,290.202993132625,290.204659747318,913.661376953125,923.226684570312,44,20824.383711396695,nan,nan,733,0.025423728813559324,knn
736,291.06850790639,81.4262466430664,291.061079241589,291.136008196287,78.1035537719727,86.8575210571289,27,18119.331621600522,nan,nan,736,0.19491525423728814,knn
738,291.17941391290503,744.6331176757809,291.177102292168,291.180283212874,734.450805664062,749.0469360351559,53,41615.35202916799,nan,nan,738,0.03389830508474576,knn
743,292.211144599941,875.578979492188,292.18400587157004,292.21193023318904,874.604858398438,880.7568969726559,93,52540.212452606735,nan,nan,743,0.025423728813559324,knn
745,292.18281899728,744.7011108398441,292.102292799908,292.225797333937,730.935546875,748.724975585938,29,7798.822873072117,nan,nan,745,0.03389830508474576,knn
747,293.21545961955,875.6130981445309,293.214591641746,293.217299966788,874.604858398438,876.599487304688,25,7756.805243191519,nan,nan,747,0.059322033898305086,knn
752,294.159933775793,875.957366943359,294.158795681468,294.161258677795,874.604858398438,876.5823364257809,28,8124.6585651578025,nan,nan,752,0.07627118644067797,knn
753,294.357615088211,84.9304428100586,294.30015297092996,294.518395502507,79.33436584472659,86.4735488891602,121,18560.10977197145,nan,nan,753,0.00847457627118644,knn
768,297.16719226232203,875.597290039062,297.16470296297996,297.258491521278,874.5365600585941,896.9379272460941,117,1200927.082869706,nan,nan,768,0.0,no
775,297.32058945054297,875.5744018554691,297.317320489782,297.377674681861,874.604858398438,876.7205200195309,89,21149.86353397435,nan,nan,775,0.11016949152542373,knn
778,298.170373650652,875.597930908203,298.16762763716497,298.171586328771,874.569213867188,876.97607421875,110,183545.47451525065,nan,nan,778,0.00847457627118644,knn
782,298.438986034526,1233.19738769531,298.43458229042005,298.605495196241,1231.67614746094,1234.00146484375,59,16786.22733475403,nan,nan,782,0.09322033898305085,knn
784,299.172877535883,875.580596923828,299.171518192397,299.181658277537,874.604858398438,876.7205200195309,76,26205.61539247752,nan,nan,784,0.06779661016949153,knn
785,299.145922916276,705.521575927734,299.144097483763,299.15490883637904,693.5648803710941,706.7978515625,72,37841.674947180516,nan,nan,785,0.05084745762711865,knn
792,300.289859934496,1073.30426025391,300.28923341545396,300.29041455358396,1072.73876953125,1078.00756835938,12,16095.781071557472,nan,nan,792,0.0,no
796,301.11787885114603,768.664337158203,301.11631306425204,301.121734861174,766.857055664062,776.7681274414059,80,60774.68595198436,nan,nan,796,0.01694915254237288,knn
