,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
768,297.16719226232203,875.597290039062,297.16470296297996,297.258491521278,874.5365600585941,896.9379272460941,117,1200927.082869706,nan,nan,768,0.0,no
771,297.279471791967,1233.67962646484,297.278272555705,297.280784569549,1231.67614746094,1235.15881347656,118,3982359.2366601983,nan,nan,771,0.0,no
790,300.290656820893,1172.43841552734,300.28933860889,300.291478514728,1169.79821777344,1177.05432128906,118,6216479.498281916,nan,nan,790,0.0,no
866,313.154135574381,684.6395263671881,313.150321480333,313.155191197509,677.542053222656,686.774169921875,117,3144635.8786330586,nan,nan,866,0.0,no
867,313.161470625865,735.2919921875,313.158242029641,313.221801652282,733.5089721679691,749.0469360351559,104,182294.7187184902,nan,nan,867,0.00847457627118644,knn
889,316.321383065299,1017.3359069824199,316.226181799941,316.322270530301,1010.42944335938,1038.64868164062,150,3563097.297018509,nan,nan,889,0.0,no
956,328.322164871692,1236.76928710938,328.233200851268,328.32277788238497,1228.95104980469,1238.6298828125,124,6038525.804653012,nan,nan,956,0.0,no
1015,338.342793323528,1325.10803222656,338.34195773611,338.343740786432,1313.09826660156,1327.11315917969,122,3946086.3888288736,nan,nan,1015,0.0,no
1023,339.345701963925,1325.10803222656,339.345058131409,339.346585069758,1313.73388671875,1327.11315917969,119,967477.2672407425,nan,nan,1023,0.0,no
1097,356.27979329837996,1035.75012207031,356.242168173425,356.28107624091103,1025.58984375,1038.92211914062,119,893551.5395513604,nan,nan,1097,0.0,no
1105,357.27928397506895,1033.71160888672,357.204678925766,357.28370974136595,1016.8545532226599,1055.54992675781,142,454259.03892909596,nan,nan,1105,0.0,no
1158,368.425528117125,1207.88433837891,368.42446724942596,368.42694120057405,1200.31481933594,1224.98327636719,118,432805.53823270305,nan,nan,1158,0.0,no
1167,369.428657927843,1207.85992431641,369.427438023877,369.60159929264097,1200.31481933594,1224.98327636719,96,100556.37664714258,nan,nan,1167,0.01694915254237288,knn
1176,371.101232403188,1298.69659423828,371.09992784976,371.10242197512804,1297.08190917969,1300.54443359375,88,164286.69842827605,nan,nan,1176,0.0,no
1495,435.295330608245,1098.81530761719,435.23868035999703,435.29690951736603,1078.02600097656,1100.91918945312,86,293080.64681999513,nan,nan,1495,0.0,no
1611,452.322308101717,1098.89147949219,452.32057062598506,452.330798396766,1097.791015625,1113.64819335938,97,914379.7985612745,nan,nan,1611,0.0,no
1620,453.24540461445605,621.2366943359381,453.237386649871,453.25570698766603,608.2039794921881,627.955017089844,52,202699.70071955211,nan,nan,1620,0.01694915254237288,knn
1629,453.74696559818904,621.437561035156,453.710630488529,453.893323160922,616.7122802734381,633.653503417969,37,97267.65843206066,nan,nan,1629,0.01694915254237288,knn
